ID,JPG_ID,Lat,Lng,Q1_Text,Q1_Type,Q2_Order,Q3_Access,Q4_Aesth,Q5_Eco,Q6_Enclo,Q7_Richness,Q8_Scale,wall,building,sky,tree,road,sidewalk,grass,earth,signboard,plant,fence,streetlight,mountain,railing,column,bridge,water,ashcan,awning,windowpane,skyscraper,ct_person,ct_bicycle,ct_car,ct_motorcycle,ct_truck,ct_traffic light,ct_bus,ct_bench,ct_boat,ct_stop sign,ct_parking meter,ct_dining table
10,19,52.5021292,13.3421723,Comm,2,0.691301504,0.487924396,0.723205342,0.13281493,0.571336137,0.665836188,0.649209486,0.003926,0.375836,0.14498,0.053953,0.338887,0.018637,0.002215,0.046262,0.007426,0,0.007879,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,2,1,0,0,0
11,20,52.51772993,13.32870623,Subur,3,0.346958797,0.426671334,0.366944908,0.441368585,0.081527014,0.825910931,0.428194993,0.021637,0.026926,0.352305,0.198062,0.217816,0.003477,0,0.018664,0,0.008609,0.01734,0.000793,0,0,0,0,0,0,0,0,0,1,0,17,0,1,0,0,0,1,0,0,0
12,21,52.47480668,13.45935791,Subur,3,0.492478744,0.368918446,0.088814691,0.565474339,0.278550631,0.425101215,0.559947299,0.00416,0.10741,0.344723,0.082648,0.369176,0.003852,0.000535,0.001746,0,0.065336,0.000617,0,0,0,0,0,0,0,0,0,0,1,0,10,0,2,0,0,0,1,0,0,0
13,22,52.484743,13.4225392,Resi,0,0.492151733,0.86979349,0.366277129,0.267496112,0.784212229,0.313609467,0.652173913,3.90E-05,0.209582,0.0635,0.310332,0.253105,0,0,0,0,0,0,0,0,0.032969,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0
14,24,52.4886789,13.3071856,Comm,2,0.677240026,0.720686034,0.558597663,0.432348367,0.230346166,0.493927126,0.525032938,0.003336,0.014062,0.203633,0.317531,0.335449,0.001914,0.040141,0.000414,0,0,0.001414,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0
15,25,52.5397346,13.2868951,Resi,0,0.524525834,0.554077704,0.49115192,0.548055988,0.652216111,0.556213018,0.423254282,0,0.088512,0.234375,0.229273,0.262113,0.049668,0.022105,0.024098,0,0.01341,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,2,0,0,0,0,0,0
16,29,52.44247408,13.45201242,Resi,0,0.764551995,0.376618831,0.233722871,0.72503888,0.556454222,0.366552476,0.655467721,0.005133,0.15248,0.084145,0.33893,0.214039,0.005023,0.030051,0.077973,0.006285,0.037812,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
17,30,52.52854165,13.31503589,Subur,3,0.622629169,0.761638082,0.886477462,0.501399689,0.471044969,0.355029586,0.791172596,0,0.058363,0.063387,0.491238,0.265531,0.005336,0,0.061312,0,0,0.005637,0,0,0,0,0.015406,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
18,34,52.52818648,13.56564516,Rural,5,0.373773708,0.153307665,0.318196995,0.508242613,0.34260757,0.196823419,0.362318841,0,0.000258,0.281211,0.281609,0.324566,0.006672,0.043809,0.051445,0.000375,0,0.003195,2.00E-05,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0
19,37,52.56229348,13.45873504,Comm,2,0.478744277,0.522576129,0.3278798,0.286469673,0.373341961,0.660541887,0.503293808,0.021395,0.138094,0.345926,0.021148,0.367109,0.004715,0.001852,0.014121,0.017195,0.02023,0.005418,0.000285,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
20,40,52.4323348,13.4545909,Subur,3,0.262262917,0.675183759,0.434390651,0.613063764,0.578130055,0.39333541,0.515151515,0,0.020539,0.144293,0.383188,0.317301,0.03827,0.018695,0.007246,0.006922,0.023543,0,0.000996,0,0,0,0,0,0,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0
21,41,52.57344345,13.21249244,Offi,1,0.479725311,0.585579279,0.434056761,0.910419907,0.487544484,0.489878543,0.419631094,0,0.057215,0.094785,0.43193,0.270242,0,0.000711,0.118699,0.001375,0.000164,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,2,0,0,0,0,0,0,0
22,42,52.45492186,13.28522137,Resi,0,0.757684761,0.477073854,0.787646077,0.87807154,0.392753154,0.423544067,0.923254282,0.015719,0.019312,0.173848,0.343785,0.257715,0.066098,0.086223,0.00148,0.001641,0,0.001348,0,0,0.020875,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
23,45,52.39628039,13.39968493,Resi,0,0.806082407,0.687084354,0.624373957,0.486780715,0.648980912,0.695733416,0.905467721,0.004578,0.016785,0.077129,0.381281,0.302809,0.046926,0,6.20E-05,0,0.048242,0.030777,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
24,46,52.54899121,13.3762982,Comm,2,0.293982995,0.207560378,0.470784641,0.183203733,0.03267551,0.452507007,0.406455863,4.00E-06,0.032855,0.32227,0.110039,0.317758,0.022809,0.064625,0,0.057398,0.01757,3.50E-05,2.00E-05,0,0,0,0,0,0,0,0,0,3,0,11,0,2,0,0,1,0,1,0,0
25,47,52.42487177,13.48026428,Offi,1,0.564094179,0.711935597,0.493489149,0.380715397,0.502102879,0.460292744,0.306324111,0,0.179848,0.121211,0.236875,0.288398,0.006359,0.06077,0,0,0.004695,0,0.000891,0,0,0,0,0,0,0,0,0,4,0,21,1,0,0,0,0,0,0,0,0
26,49,52.50106588,13.35651969,Subur,3,0.230215827,0.658382919,0.677128548,0.774494557,0.87350372,0.51417004,0.678194993,0.030387,0.007887,0.089367,0.418055,0.269414,0.017566,0.003777,0,0,0.007777,0.015582,0,0,0.042441,0,0,0,0,0,0,0,5,3,12,0,1,0,0,0,0,0,0,0
27,50,52.4515932,13.4493029,Resi,0,0.34499673,0.514875744,0.321535893,0.415241058,0.490779683,0.611024603,0.446640316,0.000445,0.359047,0.254926,0.019855,0.241062,0.011855,0,0,0.000414,0.021312,0,0.000688,0,0,0,0,0,0,0,0,0,2,3,11,0,1,0,0,0,0,0,0,0
28,52,52.5384713,13.3601795,Offi,1,0.564748201,0.458172909,0.522871452,0.637325039,0.414752507,0.50887574,0.761857708,0,0.068758,0.166543,0.349848,0.23532,0.001906,0.000578,0,0,0.018172,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
29,53,52.5456255,13.3563854,Offi,1,0.54381949,0.581379069,0.326210351,0.220528771,0.305726302,0.460915603,0.42226614,0.01168,0.230277,0.268617,0.061301,0.293844,0.020359,0.000695,0,0,0.015227,0.000156,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0
30,56,52.5227482,13.4499155,Resi,0,0.689339438,0.509275464,0.103505843,0.247589425,0.539307667,0.402055434,0.40942029,0,0.30268,0.225504,0.010902,0.368582,0.009,0,0.000324,0.000125,0,0.039496,0.005164,0,0,0,0,0,0,0,0,0,4,1,27,1,1,0,0,0,0,0,0,0
31,57,52.53730254,13.38218328,Subur,3,0.577174624,0.794539727,0.409348915,0.761430793,0.550307344,0.457178449,0.434782609,0.020441,0,0.190805,0.351234,0.247379,0.000398,0.00766,0.131773,0,0.002301,0.001648,0,0,0.014848,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
32,58,52.419422,13.158062,Subur,3,0.455199477,0.432271614,0.366277129,0.462830482,0.286962148,0.452818437,0.041172596,0.018312,0.025734,0.253621,0.244,0.410129,0.011285,0.007203,0.002219,0.003781,0.005441,0.00159,0.005266,0,9.40E-05,0,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0
33,59,52.44649634,13.44597303,Subur,3,0.476128188,0.441722086,0.504507513,0.690824261,0.821093497,0.626284647,0.721343874,0.00125,0.218477,0.146754,0.237715,0.133934,0.040648,0.118074,0,0,0.015879,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0
34,63,52.4252735,13.239059,Subur,3,0.244277305,0.421071054,0.374624374,0.33592535,0.24911032,0.391466833,0.330368906,0,0.003207,0.285688,0.252137,0.241637,0,0.031344,0.149234,0.001121,0,0.013945,0,0,0,0,0,0,0,0,0,0,3,0,9,0,1,0,0,0,0,0,0,0
35,66,52.49817624,13.51036295,Resi,0,0.732831916,0.645782289,0.395325543,0.616485226,0.317049499,0.344752414,0.694993412,0,0.19373,0.165422,0.177062,0.20682,0.095391,0.0165,0.001148,0.002281,0.013387,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,2,0,0,0
36,72,52.55748103,13.51836265,Rural,5,0.119359058,0.351067553,0.293489149,0.696111975,0.266580395,0.561818748,0.499341238,0.005582,0,0.321961,0.241406,0.282812,0.00484,0.086332,0.027484,0,0.00343,0.000238,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
37,74,52.4473681,13.44096331,Rural,5,0.451602354,0.206510326,0.721869783,0.622395023,0.796505985,0.397695422,0.438735178,0.000723,0,0.032031,0.508941,0.198098,0.038945,0.001711,0.185555,0,0.033996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,75,52.43386921,13.46043323,Rural,5,0.210268149,0.863843192,0.406343907,0.808398134,0.449692656,0.359078169,0.252305665,0.000758,0.000215,0.199773,0.332977,0.248922,0,0.035934,0.127535,0.001188,0.013289,0,0.002219,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0
39,78,52.62023855,13.49784743,Rural,5,0.573250491,0.225761288,0.640400668,0.999688958,0.675186024,0.435689816,0.665349144,0.001723,0,0.246594,0.392574,0.094969,0,0.074887,0.016988,0,0.168098,0.000512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,80,52.4262861,13.2121977,Subur,3,0.456834532,0.628281414,0.614357262,0.741835148,0.482691686,0.24291498,0.371870883,0,0.005113,0.118461,0.4005,0.287973,0.011949,0.119035,0,0,0.044879,0,0.000766,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0
41,82,52.4325187,13.4850919,Resi,0,0.779921517,0.630731537,0.337228715,0.489580093,0.307667422,0.400498287,0.445322793,0,0.02298,0.259297,0.288312,0.208883,0.180141,0,0,0,0.005957,0.000109,0,0,0.030004,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
42,85,52.5930582,13.4533296,Resi,0,0.270765206,0.907245362,0.502504174,0.834836703,0.827887415,0.688881968,0.723320158,0.000887,0.070887,0.094266,0.36916,0.017066,0,0.052332,0.104914,0,0.046695,0.021363,0.006441,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,2,0,0,0,0
43,87,52.5786122,13.4254062,Resi,0,0.803466318,0.338116906,0.390651085,0.317573872,0.65577483,0.345998131,0.516469038,0.016258,0.191305,0.090371,0.297863,0.234746,0.005211,0.023387,0,0,0.014492,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
44,90,52.59827125,13.3609745,Resi,0,0.668083715,0.785439272,0.760601002,0.741524106,0.49983824,0.668327624,0.935770751,0,0.068777,0.030051,0.459039,0.32898,0.012297,0.007469,0,0,0.028996,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,1,0,1,0,0,0,0,0
45,93,52.44391668,13.28910378,Resi,0,0.407128842,0.547427371,0.360267112,0.417418351,0.31122614,0.806913734,0.630434783,0,0.076344,0.221348,0.22916,0.374516,0.004203,0.058203,0,5.10E-05,0.017965,1.20E-05,0,0,0,0,0,0,0,0,0,0,0,2,15,2,1,0,1,0,0,0,0,0
46,94,52.5291231,13.4162757,Resi,0,0.542184434,0.723836192,0.45509182,0.404976672,0.641863475,0.62441607,0.429841897,0.033254,0.153461,0.209797,0.203402,0.304125,0.018332,0,0,0.002238,0,0,0,0.020992,0,0,0,0,0,0,0,0,5,2,19,0,0,0,0,0,0,0,0,0
47,103,52.44714984,13.29740285,Subur,3,0.415631131,0.382219111,0.348580968,0.265007776,0.06276286,0.459669885,0.523715415,0,0.030648,0.194352,0.313094,0.337383,3.50E-05,0.022062,0,0.000371,0,0,8.00E-06,0,0,0,0,0,0,0,0,0,3,0,34,0,0,0,0,0,0,0,0,0
48,106,52.51963673,13.62387817,Resi,0,0.468279922,0.284564228,0.584307179,0.469673406,0.483015205,0.656181875,0.693675889,0.004945,0.146582,0.060055,0.349734,0.206531,0.072336,0,0.082156,0.001461,0.068387,0,0.001254,0.00052,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0
49,108,52.50503846,13.34367384,Offi,1,0.493786789,0.618830942,0.667111853,0.602177294,0.510190877,0.886951106,0.542160738,0.003719,0.147098,0.076477,0.319051,0.281117,0.054793,0.004902,0,0,0.031238,0,0.009016,0,0,0,0,0,0,0,0,0,1,7,21,0,0,1,0,0,0,0,0,0
50,110,52.60727837,13.30383657,Resi,0,0.175604971,0.644732237,0.347245409,0.646034215,0.564218699,0.482092806,0.440711462,0,0,0.165758,0.342191,0.116355,0,0.021973,0.134438,0,0.034508,0.036531,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
51,112,52.41888712,13.40335984,Resi,0,0.468606933,0.702835142,0.257762938,0.535303266,0.640569395,0.377141078,0.659090909,0,0.009281,0.149176,0.370621,0.143031,0,0.044527,0.011148,0,0.066734,0,0,0,0,0,0,0,0,0,0,0,2,0,15,2,0,0,0,1,0,0,0,0
52,115,52.4749394,13.3049604,Resi,0,0.597122302,0.623731187,0.626711185,0.592534992,0.6878033,0.595764559,0.712121212,0,0.132941,0.023953,0.428203,0.272559,0.00418,0.049891,0,0,0.001566,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,2,0,0,0,3,0,0,0
53,120,52.46042226,13.70631492,Rural,5,0.260954872,0.406020301,0.398330551,0.884914463,0.858621805,0.116163189,0.493741765,0,0,0.044277,0.536527,0.142449,0,0,0.253449,0,0,0,0,0.012535,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,121,52.43905488,13.34067548,Resi,0,0.560497057,0.840742037,0.633722871,0.443856921,0.760595277,0.816256618,0.596837945,0.00359,0.192449,0.107074,0.234488,0.175234,1.20E-05,0.04698,0,0,0,0.026164,0,0,0,0,0,0,0,0,0,0,1,0,10,0,2,0,0,1,2,0,0,0
55,123,52.5098284,13.4906492,Offi,1,0.468279922,0.371018551,0.176961603,0.01399689,0.133613717,0.204609156,0.305006588,0.075617,0.254918,0.28232,0.000902,0.33157,0.041715,0,0.001258,0.000605,0,0.008418,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0
56,124,52.46943934,13.3405888,Resi,0,0.471877044,0.177458873,0.416694491,0.380404355,0.255904238,0.325132358,0.10342556,0.019453,0.047527,0.395965,0.173863,0.298395,0.022867,0,0,0.000605,0,0.039969,0,0,0.000172,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
57,125,52.4386177,13.5909882,Subur,3,0.878024853,0.334266713,0.714190317,0.638258165,0.734713685,0.39894114,0.190711462,0,0.000344,0.137578,0.450996,0.310289,0,0.040273,0.059582,0,0,0.000527,0,0,0,0.00041,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0
58,127,52.5694367,13.3066683,Subur,3,0.548397646,0.207210361,0.289816361,0.499222395,0.348430929,0.421364061,0.117588933,0,0.039234,0.25282,0.321059,0.309199,0,0.000277,0.037012,0,0,0.032305,2.70E-05,0,0,0,0.005383,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0
59,129,52.5354174,13.6207595,Resi,0,0.719097449,0.798389919,0.45509182,0,0.705920414,0.577701651,0.54743083,0.000121,0.398008,0.178984,0.02084,0.165281,0.136633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0
60,130,52.4295814,13.5245901,Offi,1,0.245912361,0.600280014,0.305843072,0.291757387,0.130378518,0.484272812,0.260540184,0,0.085648,0.406359,0.033457,0.273965,0.001289,0.043254,0.019371,0.00184,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,0,1,0,0,0,0,0,0,0
61,133,52.42859549,13.51191919,Subur,3,0.4970569,0.254812741,0.043071786,0.109797823,0.773212553,0.301463718,0.10342556,0.059043,0.18023,0.453078,0,0.085785,0,0,0.001289,0,0.004098,0.0295,0,0.00173,0.03427,0,0.038344,0.000789,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
62,145,52.52531742,13.4792437,Resi,0,0.251798561,0.631081554,0.775959933,0.432037325,0.321902297,0.162566179,0.235507246,0,0.012766,0.140863,0.417207,0.256883,0,0.059391,0.000223,1.60E-05,0,0.006,0,0,0,0,0,0,0.000832,0,0,0,4,0,13,0,0,0,0,0,1,0,0,0
63,153,52.50517419,13.58279013,Subur,3,0.291039895,0.233811691,0.230717863,0.280248834,0.264315755,0.435378387,0.21541502,0.004469,0.054141,0.384766,0.069805,0.33727,0.011281,0.033016,3.50E-05,0.055055,0.002035,0.001789,0.001492,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0
64,154,52.5255325,13.4654782,Offi,1,0.435905821,0.402170109,0.317863105,0.344012442,0.369783242,0.627218935,0.462121212,0.012891,0.218211,0.14873,0.181508,0.361391,0.004738,0,0.016898,0,0,0.00093,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,1,1,0,0,0
65,155,52.57857681,13.29730126,Rural,5,0.660562459,0.019250963,0.257762938,0.814930016,0.278550631,0.310183743,0.306982872,0,0.000566,0.216301,0.392734,0.225531,0,0,0.142281,0,0,0.012148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,157,52.42711437,13.67249521,Rural,5,0.310660562,0.281414071,0.546577629,0.712908243,0.704302815,0.077545936,0.308300395,0,0,0.153777,0.382047,0.082195,0,0.057645,0.146078,0.003992,0.172449,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
67,158,52.4511016,13.4493831,Resi,0,0.573250491,0.558627931,0.444741235,0.40622084,0.599482368,0.364683899,0.264492754,0,0.200641,0.250668,0.109527,0.268418,0.057527,0.000684,0,0,0.050758,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,1,0,0,0,0,0
68,160,52.4756644,13.2941385,Resi,0,0.592544147,0.616380819,0.514190317,0.567651633,0.65739243,0.888819682,0.854413702,0.013844,0.036195,0.007734,0.526086,0.169828,0.092574,0.014121,0,0,0.017273,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0
69,161,52.55480709,13.54615769,Subur,3,0.26324395,0.286314316,0.412020033,0.436702955,0.013587836,0.365618187,0.237483531,0.001344,0.007203,0.447395,0.071746,0.374441,0.058215,0.025516,0.00852,0.002805,0,0.002629,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
70,163,52.56025656,13.22126988,Resi,0,0.288750818,0.395869793,0.129215359,0.523794712,0.300226464,0.050451573,0.097496706,0,0.090281,0.370695,0.053105,0.218145,0.003234,0.205305,0.057449,0,0.000195,0.000414,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
71,165,52.518382,13.306867,Resi,0,0.534009156,0.650332517,0.495158598,0.464696734,0.65771595,0.559015883,0.707509881,0,0.342121,0.171004,0.062742,0.306707,0.00282,0.001543,0,0,0.000426,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0
72,166,52.42827542,13.45153621,Offi,1,0.516677567,0.618480924,0.604674457,0.441990669,0.341313491,0.542821551,0.298748353,0,0.10957,0.080266,0.393551,0.235082,3.10E-05,0.048121,0.070219,0.000805,0.011555,0,0.000441,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
73,171,52.60905967,13.30460842,Resi,0,0.367560497,0.916695835,0.63639399,0.516951788,0.225816888,0.91902834,0.96113307,0.005402,0.008652,0.107629,0.356527,0.174434,0.080164,0.047949,0,0.006539,0.062156,0.032844,0.003672,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,0,0
74,174,52.53621,13.2796706,Subur,3,0.349574886,0.716835842,0.428714524,0.615863142,0.797800065,0.314543756,0.726943347,0,7.00E-05,0.066098,0.500129,0.29002,0.013844,0.000562,0.050664,0,0.003297,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0
75,175,52.41563261,13.53083228,Resi,0,0.278286462,0.283864193,0.295492487,0.288024883,0.053057263,0.43942697,0.094202899,0,0.004461,0.437977,0.088008,0.41325,0.005195,0.014328,0.027047,0.004199,0,2.00E-05,0.002367,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0
76,181,52.5414528,13.5745708,Resi,0,0.294964029,0.395169758,0.29115192,0.112908243,0.132966677,0.379632513,0.232213439,0,0.079824,0.394539,0.07102,0.358945,0.02009,0.046898,0,0.001492,0.00043,0,0.000383,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
77,182,52.62710795,13.27617316,Subur,3,0.317854807,0.647532377,0.734557596,0.763297045,0.279521191,0.800062286,0.664031621,0.033852,0.068164,0.235902,0.224812,0.005605,0.172629,0.020977,0.128266,0.000594,0.072781,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0
78,183,52.523491,13.4187667,Offi,1,0.392086331,0.324466223,0.170617696,0.350544323,0.389517955,0.374338212,0.174571805,0,0.121332,0.309883,0.081984,0.414363,0.022969,0,0,0.000477,0,0,0.000258,0,0,0,0,0,0,0,0,0,5,0,16,0,2,0,0,0,0,1,0,0
79,185,52.43394497,13.35622681,Resi,0,0.462720733,0.340217011,0.388313856,0.420839813,0.302814623,0.358766739,0.303689065,0.005695,0.013258,0.140512,0.393523,0.37948,0.00727,0.010117,0.013547,0,0.028488,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
80,187,52.4410878,13.46582621,Subur,3,0.764879006,0.737836892,0.645075125,0.605598756,0.643481074,0.517284335,0.718708827,0.025391,0.003344,0.227473,0.271156,0.166777,0.023336,0.016223,0,5.50E-05,0.12559,0.008117,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,1,0,0,0,0,0,0
81,190,52.59037784,13.35255921,Subur,3,0.778940484,0.540777039,0.112854758,0.587869362,0.089291491,0.310806602,0.439064559,0.001664,0.013734,0.349234,0.160363,0.283961,0.027773,0.076609,0.027777,0,0,0.049184,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
82,191,52.5075279,13.5521041,Resi,0,0.33616743,0.351067553,0.632721202,0.871539658,0.75024264,0.395515416,0.654479578,0.001801,0,0.051672,0.559094,0.274977,0.016035,0.000137,0.059996,0,0.02457,0.008629,0,0,0.002699,0,0,0,0.00023,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,193,52.5375373,13.4354811,Resi,0,0.325376063,0.568778439,0.451752922,0.251010886,0.570042058,0.598567424,0.560606061,0.007367,0.16816,0.164344,0.220098,0.271203,0.002738,0,0,0.00177,0.007008,0.006977,0.000836,0,0,0,0,0,0,0.002578,0,0,5,0,21,1,2,0,1,2,0,0,0,0
84,195,52.54191833,13.560532,Subur,3,0.211576194,0.523626181,0.593656093,0.442301711,0.482368166,0.110557459,0.440382082,0,0.001914,0.200082,0.356684,0.243469,0,0.032242,0,0,0.006668,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
85,199,52.58350728,13.2963086,Resi,0,0.548724657,0.980749037,0.697495826,0.181648523,0.804593983,0.703519153,0.617588933,0.006562,0.317848,0.033102,0.249238,0.079301,0.165168,0.013418,0,0,0.006059,0.010164,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,1,0,0,0,0,0
